x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,delta,y
0.21520188,0.5468257,-0.75291,0.19281611,-0.651268,0.9865884,0.3244895,-0.3191061,0.5452105,-0.5286104,1,2.0053241
-0.10613555,0.3159041,0.34425098,-0.60824805,-0.44169915,0.5275012,0.40034518,-0.61325556,0.46542743,0.8966535,1,1.1267251
0.41448984,-0.21653521,-0.9845491,-0.36616844,-0.26898736,0.5533538,-0.43482336,0.99819887,-0.49249142,0.2406702,1,0.83628273
-0.6265661,-0.23705032,0.8797811,0.7421236,0.13700491,-0.25599086,-0.58075106,-0.021229623,-0.84540975,-0.19573806,0,3.4059947
-0.76677996,-0.46413472,0.37667626,-0.23801562,-0.6974487,-0.85946476,0.6781761,-0.86801744,0.21998307,-0.8551049,1,3.1654687
0.8824264,0.036000773,-0.3766076,0.97339743,-0.65390295,0.31162882,-0.3774035,-0.12656803,-0.24009292,0.6966243,1,1.8652142
-0.8150445,0.55571103,-0.5975312,-0.10356054,-0.10737548,-0.19457808,0.49078345,-0.91869754,0.28129578,-0.6786185,0,3.4059947
0.6180872,-0.9484801,0.39969805,0.93066394,-0.31479564,0.3717611,-0.43901694,0.079579666,0.108480066,0.8773867,1,3.199736
0.21777047,-0.05983401,0.08911438,-0.57185096,-0.5015731,0.20969659,-0.55271643,-0.24292044,0.68770057,-0.8763875,1,1.2719141
-0.65872204,-0.60739213,-0.43388152,0.5137264,0.6712203,-0.2715973,0.3451506,0.7892784,-0.11851877,0.3257107,1,2.655685
-0.73410136,0.8937132,0.11190705,-0.17646623,-0.17079642,-0.81463116,-0.34452844,-0.8725661,-0.4097904,-0.4726558,0,3.4059947
0.9760972,0.5531906,0.9551206,-0.16338892,-0.48227713,0.6183454,0.47670308,-0.09303329,0.30162728,0.84660065,0,3.4059947
-0.36815992,0.2129765,0.5253268,-0.46461043,-0.73708487,0.48733997,0.8735556,-0.25657758,-0.010502422,-0.54206425,1,0.16400139
-0.108058326,-0.95500106,-0.78940654,-0.18759136,-0.58059984,0.28205076,0.45099857,0.13980235,0.5211975,-0.7941532,1,3.2914283
0.078462705,0.9990317,-0.85426146,-0.6432219,0.17289107,-0.2804804,0.01335366,0.9254537,-0.8435764,0.054858934,1,1.2549007
0.7893647,0.3007381,-0.24766612,0.493591,0.4452367,0.87872463,0.58932525,-0.6968508,-0.12859821,-0.11851388,1,1.3892548
0.71452516,-0.2962645,0.18318951,0.26234668,-0.13640188,-0.3080363,-0.18374358,0.9563898,0.37354577,-0.86924326,0,3.4059947
-0.43743506,-0.99686813,-0.72582746,0.7411221,0.35406396,-0.1962153,-0.4108411,-0.16267124,-0.09531066,-0.58413166,0,3.4059947
0.7926809,-0.3250267,-0.88812506,0.83216625,-0.81318444,0.14060739,-0.8935636,0.12744826,0.330891,0.52166545,1,2.120552
0.7926033,-0.2798609,-0.08033455,0.25035414,0.3645191,0.18976417,-0.011929774,0.20677234,-0.99950826,-0.6057383,0,3.4059947
0.92855495,-0.91683704,-0.1729865,0.35210243,-0.30035755,0.50566185,0.889709,-0.18648975,-0.08124852,-0.052179642,0,3.4059947
-0.4334448,0.90041864,0.3484173,-0.7249593,-0.34408024,0.32770494,0.46630982,0.38149443,0.65421593,0.42704108,0,3.4059947
-0.30037305,-0.24847484,-0.057684574,0.95211864,0.5549754,0.30262858,0.16913489,0.91146123,-0.6814563,0.20832063,1,0.9470211
0.67715454,-0.92895067,0.18610065,-0.26765272,-0.08220306,-0.2909302,-0.56767493,-0.21183324,0.52432406,0.30616605,1,2.4326923
-0.8208311,-0.068455145,0.8171194,0.8606748,-0.30616796,0.9070606,0.8504978,0.97662675,-0.13177854,0.6040483,1,2.4568782
-0.58534676,0.67751783,0.28743178,0.22967485,0.7388446,-0.93716496,0.8497384,-0.777947,0.52858466,0.29769525,0,3.4059947
0.7949673,-0.88881904,0.4516386,0.50516385,0.7538793,0.39780053,-0.91345143,-0.34678993,0.51428,-0.76451606,1,2.0977283
0.6858309,-0.118342765,-0.9160491,0.78564423,0.8509091,0.6270927,-0.82959616,-0.9632608,-0.60666007,-0.29341003,0,3.4059947
0.2944185,-0.938318,-0.05272523,0.93091285,-0.3876009,-0.74275815,-0.5926349,0.47248366,-0.9323849,-0.887579,0,3.4059947
-0.99567825,-0.86508566,-0.8453247,0.98697436,0.71035916,0.74328595,-0.52879524,0.53998446,-0.54962015,-0.72779673,0,3.4059947
-0.5658827,-0.35499287,-0.1524863,0.3195688,0.13049364,-0.022353344,-0.8974194,0.8587902,-0.6966541,0.44258684,0,3.4059947
-0.8199518,-0.5262498,0.8736869,0.27215305,-0.84005463,-0.37822315,-0.6748968,0.16907546,-0.5816859,0.65332615,1,2.0848968
0.1915279,0.25303033,-0.29184592,-0.8395525,-0.022844208,0.9980597,0.60433924,-0.31157327,0.8481287,0.3447027,1,1.295948
-0.64360446,-0.21439995,0.18856253,0.51739544,0.7312711,-0.23382644,-0.36592016,-0.51386636,0.45015505,-0.93108946,1,0.49696454
-0.45697293,-0.04659758,-0.18133238,-0.26947564,-0.008108,0.8406273,-0.4624515,-0.49594045,0.54687893,-0.35703585,1,1.7223618
0.1526773,0.17112362,0.15404022,0.7352843,0.13881505,-0.90355235,-0.10173247,0.65637165,0.69263804,-0.38064077,1,0.3007562
-0.4143545,0.6279606,0.31113464,-0.34259334,0.8342301,0.37025023,0.46181238,-0.07440372,0.9965177,0.42087978,1,0.1484019
-0.32575667,0.4298165,-0.001455742,0.9392102,-0.536119,-0.92234874,0.37318712,0.4511896,0.97104347,-0.44300705,1,0.6020936
-0.16219702,0.37176874,0.2650593,-0.303086,0.20049305,0.051118594,-0.91989106,-0.98715186,0.89216274,0.8784137,1,0.59211147
0.6273178,-0.48045665,0.87148714,0.5364223,0.62530464,-0.88200814,0.10229645,-0.97219354,-0.5163391,-0.014011048,0,3.4059947
-0.70984185,0.5719716,0.45311186,0.7657468,0.9614015,0.35128096,-0.45272875,0.55050415,-0.36523345,0.6096571,0,3.4059947
0.5808689,0.82399774,-0.76494575,0.14532226,0.7781817,-0.98184794,-0.065754816,0.9826312,-0.5890039,-0.73981607,0,3.4059947
0.78438306,-0.28783894,0.35605904,-0.10452222,0.44613734,-0.9918356,0.44388196,-0.74864316,-0.8706523,-0.5315501,1,2.9179559
0.53409374,0.8669977,0.8600006,-0.6061436,-0.7682225,-0.30465406,0.6468201,0.8081298,-0.8115996,-0.2724059,0,3.4059947
0.55728364,0.14869899,0.9872828,0.92636365,0.14957424,-0.035872895,0.95207405,-0.3340658,0.67658293,0.5924658,1,2.3240764
-0.4954193,-0.50008804,0.701852,-0.14197892,-0.6823335,-0.44560197,0.41161013,-0.14111094,0.6258366,-0.40720782,0,3.4059947
0.1892062,-0.6534906,0.03764799,0.60886234,0.6063667,0.84329766,0.36003214,0.88455474,0.82300234,0.037054133,1,0.60513157
-0.63449156,0.5595685,-0.3236117,0.66859144,-0.6921038,0.59129965,0.7682772,-0.54479,0.8246181,-0.014831651,1,1.3819429
